cellCode,lme_id,lme_name
10kmE431N546,53,Norwegian Sea
10kmE431N547,53,Norwegian Sea
10kmE431N548,53,Norwegian Sea
10kmE431N549,53,Norwegian Sea
10kmE431N550,53,Norwegian Sea
10kmE431N551,53,Norwegian Sea
10kmE431N552,53,Norwegian Sea
10kmE431N553,53,Norwegian Sea
10kmE431N554,53,Norwegian Sea
10kmE431N555,53,Norwegian Sea
10kmE431N556,53,Norwegian Sea
10kmE431N557,53,Norwegian Sea
10kmE431N558,53,Norwegian Sea
10kmE431N559,53,Norwegian Sea
10kmE431N560,53,Norwegian Sea
10kmE431N561,53,Norwegian Sea
10kmE431N562,53,Norwegian Sea
10kmE431N563,53,Norwegian Sea
10kmE431N564,53,Norwegian Sea
10kmE431N565,53,Norwegian Sea
10kmE431N566,53,Norwegian Sea
10kmE431N567,53,Norwegian Sea
10kmE431N568,53,Norwegian Sea
10kmE431N569,53,Norwegian Sea
10kmE431N570,53,Norwegian Sea
10kmE431N571,53,Norwegian Sea
10kmE431N572,53,Norwegian Sea
10kmE431N573,53,Norwegian Sea
10kmE431N574,53,Norwegian Sea
10kmE431N575,53,Norwegian Sea
10kmE431N576,53,Norwegian Sea
10kmE431N577,53,Norwegian Sea
10kmE431N578,53,Norwegian Sea
10kmE431N579,53,Norwegian Sea
10kmE431N580,53,Norwegian Sea
10kmE431N581,53,Norwegian Sea
10kmE431N582,53,Norwegian Sea
10kmE431N583,53,Norwegian Sea
10kmE431N584,53,Norwegian Sea
10kmE431N585,53,Norwegian Sea
10kmE431N586,53,Norwegian Sea
10kmE431N587,53,Norwegian Sea
10kmE431N588,53,Norwegian Sea
10kmE431N589,53,Norwegian Sea
10kmE431N590,53,Norwegian Sea
10kmE431N591,53,Norwegian Sea
10kmE431N592,53,Norwegian Sea
10kmE431N593,53,Norwegian Sea
10kmE431N594,53,Norwegian Sea
10kmE431N595,53,Norwegian Sea
10kmE431N596,53,Norwegian Sea
10kmE431N597,53,Norwegian Sea
10kmE431N597,54,Barents Sea
10kmE431N598,54,Barents Sea
10kmE431N599,54,Barents Sea
10kmE431N600,54,Barents Sea
10kmE431N601,54,Barents Sea
10kmE431N602,54,Barents Sea
10kmE431N603,54,Barents Sea
10kmE431N604,54,Barents Sea
10kmE431N605,54,Barents Sea
10kmE431N606,54,Barents Sea
10kmE431N607,54,Barents Sea
10kmE431N608,54,Barents Sea
10kmE431N609,54,Barents Sea
10kmE431N610,54,Barents Sea
10kmE431N611,54,Barents Sea
10kmE431N612,54,Barents Sea
10kmE431N613,54,Barents Sea
10kmE431N614,54,Barents Sea
10kmE431N615,54,Barents Sea
10kmE431N616,54,Barents Sea
10kmE431N617,54,Barents Sea
10kmE431N618,54,Barents Sea
10kmE431N619,54,Barents Sea
10kmE431N620,54,Barents Sea
10kmE431N621,54,Barents Sea
10kmE431N622,54,Barents Sea
10kmE431N623,54,Barents Sea
10kmE431N624,54,Barents Sea
10kmE431N625,54,Barents Sea
10kmE431N626,54,Barents Sea
10kmE431N627,54,Barents Sea
10kmE431N628,54,Barents Sea
10kmE431N629,54,Barents Sea
10kmE431N630,54,Barents Sea
10kmE431N631,54,Barents Sea
10kmE431N632,54,Barents Sea
10kmE431N633,54,Barents Sea
10kmE431N634,54,Barents Sea
10kmE431N635,54,Barents Sea
10kmE431N636,54,Barents Sea
10kmE431N637,54,Barents Sea
10kmE431N638,54,Barents Sea
10kmE431N639,54,Barents Sea
10kmE431N640,54,Barents Sea
10kmE431N641,54,Barents Sea
10kmE431N642,54,Barents Sea
10kmE431N643,54,Barents Sea
10kmE431N644,54,Barents Sea
10kmE431N645,54,Barents Sea
10kmE431N646,54,Barents Sea
10kmE431N647,54,Barents Sea
10kmE431N648,54,Barents Sea
10kmE431N649,54,Barents Sea
10kmE431N650,54,Barents Sea
10kmE431N651,54,Barents Sea
10kmE431N652,54,Barents Sea
10kmE431N653,54,Barents Sea
10kmE431N654,54,Barents Sea
10kmE431N655,54,Barents Sea
10kmE431N656,54,Barents Sea
10kmE431N657,54,Barents Sea
10kmE431N658,54,Barents Sea
10kmE432N120,13,Mediterranean Sea
10kmE432N121,13,Mediterranean Sea
10kmE432N122,13,Mediterranean Sea
10kmE432N123,13,Mediterranean Sea
10kmE432N124,13,Mediterranean Sea
10kmE432N125,13,Mediterranean Sea
10kmE432N157,13,Mediterranean Sea
10kmE432N158,13,Mediterranean Sea
10kmE432N159,13,Mediterranean Sea
10kmE432N160,13,Mediterranean Sea
10kmE432N161,13,Mediterranean Sea
10kmE432N162,13,Mediterranean Sea
10kmE432N163,13,Mediterranean Sea
10kmE432N164,13,Mediterranean Sea
10kmE432N165,13,Mediterranean Sea
10kmE432N166,13,Mediterranean Sea
10kmE432N167,13,Mediterranean Sea
10kmE432N168,13,Mediterranean Sea
10kmE432N169,13,Mediterranean Sea
10kmE432N170,13,Mediterranean Sea
10kmE432N171,13,Mediterranean Sea
10kmE432N172,13,Mediterranean Sea
10kmE432N173,13,Mediterranean Sea
10kmE432N174,13,Mediterranean Sea
10kmE432N175,13,Mediterranean Sea
10kmE432N176,13,Mediterranean Sea
10kmE432N177,13,Mediterranean Sea
10kmE432N178,13,Mediterranean Sea
10kmE432N179,13,Mediterranean Sea
10kmE432N180,13,Mediterranean Sea
10kmE432N181,13,Mediterranean Sea
10kmE432N182,13,Mediterranean Sea
10kmE432N183,13,Mediterranean Sea
10kmE432N184,13,Mediterranean Sea
10kmE432N185,13,Mediterranean Sea
10kmE432N186,13,Mediterranean Sea
10kmE432N187,13,Mediterranean Sea
10kmE432N188,13,Mediterranean Sea
10kmE432N189,13,Mediterranean Sea
10kmE432N190,13,Mediterranean Sea
10kmE432N191,13,Mediterranean Sea
10kmE432N192,13,Mediterranean Sea
10kmE432N193,13,Mediterranean Sea
10kmE432N194,13,Mediterranean Sea
10kmE432N195,13,Mediterranean Sea
10kmE432N196,13,Mediterranean Sea
10kmE432N197,13,Mediterranean Sea
10kmE432N198,13,Mediterranean Sea
10kmE432N199,13,Mediterranean Sea
10kmE432N200,13,Mediterranean Sea
10kmE432N201,13,Mediterranean Sea
10kmE432N202,13,Mediterranean Sea
10kmE432N203,13,Mediterranean Sea
10kmE432N204,13,Mediterranean Sea
10kmE432N205,13,Mediterranean Sea
10kmE432N206,13,Mediterranean Sea
10kmE432N207,13,Mediterranean Sea
10kmE432N208,13,Mediterranean Sea
10kmE432N209,13,Mediterranean Sea
10kmE432N210,13,Mediterranean Sea
10kmE432N211,13,Mediterranean Sea
10kmE432N212,13,Mediterranean Sea
10kmE432N213,13,Mediterranean Sea
10kmE432N214,13,Mediterranean Sea
10kmE432N215,13,Mediterranean Sea
10kmE432N216,13,Mediterranean Sea
10kmE432N217,13,Mediterranean Sea
10kmE432N218,13,Mediterranean Sea
10kmE432N219,13,Mediterranean Sea
10kmE432N220,13,Mediterranean Sea
10kmE432N221,13,Mediterranean Sea
10kmE432N222,13,Mediterranean Sea
